Communes	اﻟﺒﻠﺪﻳﺔ	Pays	بلد
Adrar	أدرار	Algérie	الجزائر
Tamest	ﺗﺄﻣﺎﺳﺖ	Algérie	الجزائر
Charouine	ﺷﺮوﻳﻦ	Algérie	الجزائر
Reggane	رﻗﺎن	Algérie	الجزائر
In Zghmir	ان زﻏﻤﻴﺮ	Algérie	الجزائر
Tit	ﺗﻴﺖ	Algérie	الجزائر
Ksar Kaddour	ﻗﺼﺮ ﻗﺪور	Algérie	الجزائر
Tsabit	ﺗﺴﺎﺑﻴﺖ	Algérie	الجزائر
Timimoun	ﺗﻴﻤﻴﻤﻮن	Algérie	الجزائر
Ouled Said	أوﻻد اﻟﺴﻌﻴﺪ	Algérie	الجزائر
Zaouiet-Kounta	زاوﻳﺔ آﻨﺘﺔ	Algérie	الجزائر
Aoulef	أوﻟﻒ	Algérie	الجزائر
Timekten	ﺗﻤﻘﺘﻦ	Algérie	الجزائر
Tamantit	ﺗﺎﻣﻨﻄﻴﺖ	Algérie	الجزائر
Fenoughil	ﻓﻨﻮﻏﻴﻞ	Algérie	الجزائر
Tinerkouk	ﺗﻨﻴﺮآﻮك	Algérie	الجزائر
Deldoul	دﻟﺪول	Algérie	الجزائر
Sali	ﺳﺎﻟﻰ	Algérie	الجزائر
Akabli	أﻗﺒﻠﻰ	Algérie	الجزائر
Metarfa	ﻄﺎرﻓﺔ ﻤ	Algérie	الجزائر
"Ouled Ahmed
 Timmi"	أوﻻد أﺣﻤﺪ ﺗﻴﻤﻰ	Algérie	الجزائر
Bouda	ﺑﻮدة	Algérie	الجزائر
Aougrout	أوﻗﺮت	Algérie	الجزائر
Talmine	ﻃﺎﻟﻤﻴﻦ	Algérie	الجزائر
"Bordj Badji
 Mokhtar"	ﺑﺮج ﺑﺎﺟﻰ ﻣﺨﺘﺎر	Algérie	الجزائر
Sbaa	اﻟﺴﺒﻊ	Algérie	الجزائر
Ouled Aissa	أوﻻد ﻋﻴﺴﻰ	Algérie	الجزائر
Timiaouine	ﺗﻴﻤﻴﺎوﻳﻦ	Algérie	الجزائر
